"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"351","2024-12-16","24","30","20","Western","Rutsiro","News Comments","Taxi","fair system better service confusing clean dirty"
"352","2024-12-17","49","30","22","Kigali","Nyarugenge","Twitter","Motorcycle","dangerous comfortable safe safe"
"353","2024-12-18","35","60","33","Kigali","Nyarugenge","Twitter","Walking","unreliable safe confusing dangerous expensive"
"354","2024-12-19","25","33","18","Kigali","Nyarugenge","Facebook","Walking","confusing price too high affordable comfortable long wait dangerous expensive"
"355","2024-12-20","39","43","13","Kigali","Gasabo","Facebook","Bicycle","price too high convenient dirty"
"356","2024-12-21","50","52","11","Eastern","Bugesera","Facebook","Walking","affordable expensive better service fair system fair system confusing"
"357","2024-12-22","40","52","34","Eastern","Gatsibo","News Comments","Taxi","long wait better service dangerous comfortable fair system dangerous dangerous"
"358","2024-12-23","33","56","24","Kigali","Gasabo","News Comments","Bus","dirty unreliable dirty long wait price too high safe"
"359","2024-12-24","30","48","34","Eastern","Rwamagana","Facebook","Motorcycle","better service clean fair system price too high long wait safe"
"360","2024-12-25","45","53","12","Northern","Burera","News Comments","Bus","convenient price too high safe price too high confusing confusing unreliable clean"
"361","2024-12-26","24","55","13","Kigali","Nyarugenge","Surveys","Taxi","unreliable comfortable comfortable dirty dirty better service confusing affordable"
"362","2024-12-27","26","48","14","Western","Nyabihu","Twitter","Taxi","dangerous confusing price too high expensive unreliable safe"
"363","2024-12-28","47","54","32","Western","Nyabihu","Twitter","Bicycle","confusing dangerous confusing convenient confusing"
"364","2024-12-29","29","31","33","Southern","Kamonyi","News Comments","Bicycle","clean affordable confusing price too high"
"365","2024-12-30","31","43","40","Eastern","Kirehe","Facebook","Bus","clean unreliable confusing"
"366","2024-12-31","44","56","29","Northern","Gakenke","News Comments","Bicycle","long wait dirty fair system"
